ticker,fossil_fuel,defense,gambling,tobacco,alcohol,private_prisons,adult_entertainment,controversial_weapons
MCK,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MDT,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MRK,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
META,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MET,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MTD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MGM,0.00,0.00,0.90,0.00,0.00,0.00,0.00,0.00
MCHP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MU,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MSFT,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00
MAA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MRNA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MOH,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TAP,0.00,0.00,0.00,0.00,0.95,0.00,0.00,0.00
MDLZ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MPWR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MNST,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MCO,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MOS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MSI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MSCI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NDAQ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NTAP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NFLX,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NEM,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NWSA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NWS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NEE,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NKE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NDSN,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NSC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NTRS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NOC,0.00,0.85,0.00,0.00,0.00,0.00,0.00,0.00
NCLH,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NRG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NUE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVDA,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NVR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
NXPI,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ORLY,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
OXY,0.95,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ODFL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
OMC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ON,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
OKE,0.75,0.00,0.00,0.00,0.00,0.00,0.00,0.00
ORCL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
OTIS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PCAR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PKG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PLTR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PANW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PSKY,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PH,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PAYX,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PAYC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PYPL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PNR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PEP,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PFE,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PCG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PM,0.00,0.00,0.00,0.95,0.00,0.00,0.00,0.00
PSX,0.90,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PNW,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PNC,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
POOL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PPG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PPL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PFG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PG,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PGR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
PLD,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
